Institution,Caste-Category - Total - Male,Caste-Category - Total - Female,Caste-Category - SC - Male,Caste-Category - SC - Female,Caste-Category - ST - Male,Caste-Category - ST - Female,Caste-Category - OBC - Male,Caste-Category - OBC - Female,Out of Total - PWD - Male,Out of Total - PWD - Female,Out of Total - Muslim - Male,Out of Total - Muslim - Female,Out of Total - Other Minority Communities - Male,Out of Total - Other Minority Communities - Female
"AKASHDEEP COLLEGE OF PHARMACY, JAIPUR (Id: C-47087)",7,1,0,0,0,0,3,0,0,0,0,0,0,0
Akashdeep Institute of Management & Technology (Id: C-25153),2,6,0,0,0,0,0,2,0,0,0,0,0,0
"Akashdeep TT Girls College, Jaipur (Id: C-38370)",5,21,0,2,0,0,0,5,0,0,0,0,0,0
"AKBARPUR DEGREE COLLEGE, AKBARPUR, (Id: C-12308)",12,13,0,0,0,0,1,0,0,0,0,0,0,0
A.K.C. COLLEGE OF ARTS & SCIENCE (Id: C-36543),21,28,1,0,0,0,0,0,0,0,0,0,0,0
"A.K COLLEGE ,SHIKOHABAD,(FIROZABAD) (Id: C-15554)",41,11,1,0,0,0,15,5,0,0,0,0,0,0
A.K.D. DHARMARAJA COLLEGE FOR WOMEN (Id: C-36531),0,40,0,7,0,0,0,30,0,0,0,0,0,0
"A.K.DOSHI MAHILA ARTS, COMM. &. HOMESCI. COLLEGE-JAMNAGAR (Id: C-954)",14,12,0,1,0,0,1,1,0,0,0,0,0,0
Akhil Anjana Kelavni Mandal (Chaudhari) College of Computer Application (Id: C-6077),1,3,0,0,0,0,0,1,0,0,0,0,0,0
"Akhilbhagya Mahavidyalaya Ranapar, Gorakhpur (Id: C-14199)",19,6,4,0,0,0,3,1,0,0,1,0,0,0
"Akhil Bharatiye Skt. Hindi Vidypeeth, Khamhar, Begusarai (Id: C-9666)",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akhilesh Sureshbhai Patel Arts College, Boriavi (Id: C-1168)",9,6,0,0,1,2,1,1,0,0,0,0,0,0
AKILIKA HERBAL INSTITUTE (Id: C-36528),3,1,0,0,0,0,3,1,0,0,0,0,0,0
"Akkamahadevi Arts & Commerce College for Women, Basavakalyan-585 327 (Id: C-8674)",15,6,3,1,1,0,10,4,0,0,0,0,0,0
"Akkamahadevi Arts & Science College for Women, Bagalkot (Id: C-8652)",7,15,0,1,0,0,3,1,0,0,1,1,0,0
Akkamahadevi College of Nursing (Id: C-40273),4,11,1,2,0,0,0,2,1,1,0,0,2,10
Akkamahadevi Mahila Mahavidyalay BIDAR (Id: C-8639),14,7,0,0,0,0,0,0,0,0,0,0,0,0
"Akkihal Foundation Dharawad College of Management (B.B.A) Opp. Michigan Coupound , Saptapur, Dharawad. (Id: C-35499)",6,6,0,0,0,0,0,0,0,0,0,0,0,0
"AKLABY SCIENCE MANAGEMENT AND I T COLLEGE, AMARWADA (Id: C-44985)",11,4,2,0,0,0,6,3,0,0,0,0,0,0
"AKLANK GIRLS COLLEGE BASANT VIHAR, KOTA (Id: C-46429)",9,17,1,0,0,0,1,0,0,0,0,0,0,0
"Aklank T.T. College, Basant Vihar, Kota (Id: C-19470)",2,6,1,0,0,0,1,0,0,0,0,0,0,0
"AKLAVYA PRERNA MAHAVIDYLAYA, MANDSAUR (Id: C-47234)",7,3,0,0,0,0,4,1,0,0,0,0,0,0
AKLR Govt. Andhra Oriental College (Id: C-25999),2,5,0,1,0,0,1,2,0,0,0,0,0,0
AKM Oriental College (Id: C-25649),6,3,0,0,0,0,0,0,0,0,6,3,0,0
"Akola Law College, Akola (Id: C-43221)",11,16,1,0,1,0,0,1,0,0,0,0,0,0
"Akole Taluka Education Societys Arts, Commerce & Dadasaheb Rupwate Science College, Akole, Dist.Ahmednagar 422601 (Id: C-41748)",27,0,5,0,0,0,5,0,0,0,0,0,0,0
A.K.P. College Khurja (Bulandshahr) Mob. No.9410484074 05732-247136 (Id: C-28972),0,12,0,4,0,0,0,2,0,0,0,0,0,0
"A.K.R.G. College of Engineering and Technology, Nallajerla-534112, (CC-HK) (Id: C-18031)",48,23,5,1,0,0,9,7,0,0,0,0,0,0
"AKRG College of Pharmacy, Nallagerla PIN-534112(CC-8N) (Id: C-18087)",17,8,0,1,0,0,1,0,0,0,0,0,0,0
"A.k.S.College,Japla (Id: C-42771)",38,4,0,0,0,2,5,1,0,0,3,0,0,0
AKSHARA DEGREE COLLEGE (Id: C-24866),12,4,1,0,0,0,11,3,0,0,1,0,0,0
"AKSHAR-PREET INSTITUTE OF PHARMACY,(203) JAMNAGAR (Id: C-356)",9,7,0,0,0,0,0,0,0,0,0,0,0,0
Akshaya Bharathi Institute of Technology Siddavatam (P&M) (Id: C-26967),53,19,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Akshay Academy College, Khasgi Ka Bagicha Kila Maidan Road Indore (Id: C-29865)",35,9,0,2,0,0,19,2,0,0,2,0,0,0
Akshaya College of Education (Id: C-14745),1,4,0,1,0,0,0,0,0,0,0,0,0,0
Akshaya College of Education (Id: C-6978),6,2,1,0,1,1,4,1,0,0,0,0,0,0
Akshaya College of Engineering and Technology (Id: C-36985),35,42,1,1,0,0,1,2,0,0,0,1,1,1
Akshaya College of Nursing (Id: C-40089),9,24,1,3,1,3,5,8,0,0,1,2,2,6
"AKSHAYA INSTITUTE OF MANAGEMENT STUDIES, COIMBATORE (Id: C-46582)",4,3,0,0,0,0,0,0,0,0,0,0,1,0
"Akshaya Institute of Technology, TUMKUR DIST (Id: C-1287)",23,16,2,2,1,0,17,11,0,0,0,0,0,0
Aksheyaa College of Engineering (Id: C-16574),49,20,4,1,0,0,43,19,0,0,0,0,0,0
"Akson Academy College, No.14, KHB Road, Kanakanagar, R.T. Nagar Post, Bangalore -32 (Id: C-20915)",15,4,1,2,0,0,2,0,0,0,0,0,0,0
A.K.T. Memorial College of Education (Id: C-14787),12,1,3,0,0,0,4,1,0,0,0,0,0,0
A.K.T. Memorial College of Engineering & Technology (Id: C-16591),48,10,12,5,0,0,36,5,0,0,0,1,0,0
"Akula Gopayya College of Engineering & Technology, Nh-5, Y-Junction, Prathiapadu, Tadepalligudem, PIN -534146 (CC-G5) (Id: C-18127)",57,12,0,0,0,0,0,0,0,0,0,0,0,0
"Akula Sree Ramulu College of Engineering, Beside NH-5, By pass Road, Tetali, Tanuku, PIN -534211(CC-53) (Id: C-18091)",68,25,0,0,0,0,0,0,0,0,0,0,0,0
"A.K. VISHWANTHA REDDY DEGREE COLLEGE, MULKANOOR, BHEEMADEVARAPALLY (Id: C-21555)",8,6,0,0,0,0,2,2,0,0,0,0,0,0
Al-Aameen Fathima College of Nursing (Id: C-40432),15,7,0,0,0,0,0,0,0,0,11,2,4,5
"ALADI ARUNA COLLEGE OF NURSING, TIRUNELVELI (Id: C-45675)",0,15,0,2,0,0,0,13,0,0,NA,NA,NA,NA
"Alagappa Chettiar College of Engg &Tech, Karaikudi (Id: C-26789)",47,25,9,10,0,0,36,14,1,0,NA,NA,NA,NA
"Alagappa Government Arts College, Karaikudi (Id: C-28526)",123,36,18,12,0,0,89,21,2,0,3,1,0,0
"AL-AHAD COLLEGE OF EDUCATION, ANANTNAG (Id: C-45949)",6,5,0,0,0,0,0,0,0,0,6,5,0,0
"ALAMDAR COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45959)",8,4,0,0,0,0,0,0,0,0,8,2,0,2
"Al-Ameen Arts, science & Commerece College, Hosur Road, Bangalore-27 (Id: C-21156)",36,25,0,0,0,0,0,0,0,0,34,23,0,0
"Al- Ameen College, Edathala North P.O. Alwaye - 683 564 (Id: C-11610)",14,16,0,0,0,0,2,4,0,0,0,0,0,0
Al-Ameen College of Education (Id: C-14915),5,3,1,0,0,0,3,3,0,0,0,0,1,1
"Al-Ameen College of Education, Hosur Road, Near Lalbagh Main Gate, Bangalore-27 (Id: C-21143)",2,6,0,1,0,0,0,3,0,0,0,0,0,0
"Al-Ameen College of Law, Bangalore (Id: C-9786)",4,11,0,1,1,0,2,5,0,0,1,0,0,0
"AL AMEEN COLLEGE OF NURSING, THIRUVANNAMALAI (Id: C-45774)",0,9,0,1,0,0,0,8,0,0,0,0,0,0
Al-Ameen College of Pharmacy (Id: C-40298),15,26,0,0,0,0,0,0,0,0,6,7,0,0
AL-Ameen Dental College (Id: C-40378),131,43,0,0,0,0,0,0,0,0,60,0,0,0
"Al-Ameen Dr. Momthag Ahamed Khar college, Kolar-563101 (Id: C-20896)",8,8,1,0,0,0,7,7,0,0,0,0,0,0
"Al-Ameen Educational & Medical Foundations College of Engineering, Pune (Id: C-41835)",26,15,2,2,4,1,1,5,0,0,7,0,0,0
Al-Ameen Engineering College (Id: C-36951),45,6,1,0,0,0,43,6,0,0,14,1,1,0
"AL AMEEN ENGINEERING COLLEGE, KULAPPULLI (Id: C-43295)",59,39,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"Al-Ameen Institute of Information Science, Hosur Road, Near Lalbagh Mn. Gate, Bangalore-27 (Id: C-20663)",9,7,0,0,0,0,1,0,0,0,3,6,1,0
"Al-Ameen Inst. Of Management Studies, Hosur Road, Bangalore-27 (Id: C-20852)",6,9,0,0,0,0,0,0,0,0,0,0,0,0
Al-Ameen Medical College (Id: C-40062),230,85,2,2,7,1,0,0,0,0,103,41,0,0
Al- Ameen Memorial Minority College (Id: C-11912),16,8,2,0,0,0,1,0,0,0,10,8,0,0
"Al-Amen Arts & Science College, Somasipadi-606611 (Id: C-36413)",18,3,5,1,0,0,13,2,0,0,3,0,0,0
"Alankar Mahila B.Ed. College, Jaipur (Id: C-39023)",1,14,0,0,0,0,1,5,0,0,0,0,0,0
"Alard Charitable Trusts Alard College of Engineering & Management,Pune (Id: C-42123)",28,24,0,1,0,0,0,0,0,0,0,0,0,0
"Alard Charitable Trusts Alard College of Pharmacy, Pune (Id: C-41805)",5,7,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Azhar College of Engineering & Technology, Perumpillichira, Thodupuzha (Id: C-11801)",30,14,0,0,0,0,16,12,0,0,0,0,0,0
"Al-Azhar Dental College, Perumpillichira P.O, Thodupuzha- 685 605 (Id: C-11565)",62,32,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Azhar Training College, Perumpillichira P.O., Thodupuzha - 685 605 (Id: C-11607)",4,8,0,0,0,0,1,3,0,0,0,2,0,0
"Al Aziz welfare charitable trust's AIM College of Education for Women ,Bidar (Id: C-8667)",5,4,0,0,0,0,0,0,0,0,0,0,0,0
Al-Badar Rural Gulbarga Dental College & Hospital (Id: C-40284),22,16,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"AL.BARKAT COLLEGE OF EDUCATION ANOOP SHAHAR ROAD, ALIGARH (Id: C-15264)",2,6,0,0,0,0,0,0,0,0,1,5,0,0
"AL BARKAT INSTITUTE OF MANAGEMENT STUDIES, ALIGARH (Id: C-46037)",12,1,0,0,0,0,0,0,0,0,12,0,0,0
"ALBERTAIN INSTITUTE OF SCIENCE & TECHNOLGY, TECHNICAL CAMPUS, ANGEL MARY NAGAR, COCHIN UNIVERSITY (Id: C-48168)",10,7,0,1,0,0,4,3,0,0,0,0,4,3
"Albert Einstein Womens T.T. College,Basant Vihar, Kota (Id: C-19369)",5,4,0,0,0,1,0,1,0,0,0,0,0,0
A.L.College of Education (Id: C-32711),9,10,0,0,0,0,9,10,0,0,0,0,9,10
Aldel Education Trusts St John College of Engg Vevoor Palghar Tal Palghar Dist Thane (Id: C-33765),42,30,0,0,0,0,0,0,0,0,3,0,6,10
Aldel Education Trusts St John Institute of Pharmacy At Vevoor Palghar Tal Palghar Dist Thane (Id: C-33911),8,8,2,0,0,0,0,0,0,0,0,0,1,6
Alder College (Id: C-16687),14,15,0,0,14,14,0,0,0,0,0,0,0,0
"Alexa College of Education,Venkatachalam (Id: C-24838)",3,5,1,2,0,0,1,0,0,0,1,0,0,0
"ALEXANDER COLLEGE, MUGDUMPOOR (Id: C-44951)",5,2,1,0,0,0,2,1,0,0,1,0,0,0
"Alexia College of Professional Studies, Indore (Id: C-47269)",2,3,0,0,0,0,0,0,0,0,0,0,0,0
"Alfa College of Engineering & Technology.Allagadda -518543,Kurnool (Id: C-26953)",48,15,17,4,2,0,11,8,0,0,3,0,0,0
"Al Farukh Unani Medical College, Indore (Id: C-29728)",24,10,0,0,0,0,4,1,0,0,24,10,0,0
"Alfa Social And Educational Foundation's Dhanwantary Arts And Science College, Address: Dhawalpuri Taluka: Parner District: Ahmednagar Pincode: 414103 (Id: C-42025)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Habeeb College of Engineering & Technology (Id: C-19840),81,40,9,5,0,0,17,11,1,0,46,19,3,0
"AL HABEEB T.T. COLLEGE, BOKARO (Id: C-44419)",5,5,1,1,0,0,2,1,0,0,0,2,0,0
"Al-hafeez College, Ara (Id: C-35763)",33,10,0,0,0,0,9,0,0,0,26,2,NA,NA
AL HASAN T T COLLEGE SAMASTIPUR (Id: C-46321),8,1,0,0,0,0,1,0,0,0,3,0,0,0
Ali College of Education (Id: C-39243),7,3,2,1,0,0,4,1,0,0,0,0,0,0
Aliens Degree College (Id: C-25837),5,8,0,0,0,0,4,3,0,0,1,0,0,1
"ALIGARH COLLEGE OF ENGINEERING AND TECHNOLOGY, ALIGARH (Id: C-15244)",17,4,0,0,0,0,1,0,0,0,NA,NA,NA,NA
"Aligent College, Motinath Mandir Campus, Bharkapara, Rajnandgaon (Id: C-21649)",9,7,0,0,0,0,2,3,0,0,0,0,0,0
"ALIPURDUAR COLLEGE, JALPAIGURI (Id: C-45352)",32,8,0,0,0,0,0,0,0,0,1,0,0,1
"ALIPURDUAR MAHILA MAHAVIDYALAYA, JALPAIGURI (Id: C-45777)",4,4,2,0,0,2,0,0,0,0,0,0,0,0
Ali Yabar Jung National Institute for Hearing Handicapped (Id: C-43374),7,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Yabar Jung National Institute of Hearing Handicapped (Id: C-16448),12,6,0,2,0,0,1,1,0,0,0,0,0,0
Ali Yavar Jung National Institute for the Hearing Handicapped (Id: C-25746),16,19,4,1,1,0,2,2,0,0,0,0,0,0
"AL JAMIA ARTS & SCIENCE COLLEGE, PATTIKKAD (Id: C-8103)",9,3,0,0,0,0,8,2,0,0,8,2,0,0
Al Kareem College of Nursing (Id: C-40166),19,16,0,0,0,0,0,0,0,0,7,1,12,15
"Allagadda Inst. Of Management & Science (PG), Allagadda (Id: C-26264)",2,0,0,0,0,0,0,0,1,0,0,0,0,0
Allahabad Degree College (Id: C-36473),49,27,0,1,0,0,4,0,0,0,0,1,0,0
"ALLAHABAD INSTITUTE OF ENGINEERING AND TECHNOLOGY, ALLAHABAD (Id: C-46667)",33,14,2,1,1,0,6,2,0,0,1,0,0,0
"Allam Karibasappa Institute of Management, Bellary. (Id: C-8601)",10,4,0,0,0,0,0,0,0,0,2,0,0,1
All Angels College of Education (Id: C-14451),6,2,2,0,0,0,4,2,1,0,1,0,0,0
"Alliance Institute Of Commerce & Management, Bhilai (Id: C-21767)",10,3,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
All India Institute of Hygiene and Public Health (Id: C-16390),23,10,3,2,0,0,0,0,0,0,0,0,0,0
"All India Institute of Physical Medicine & Rehabilitation, Haji Ali Park, K. Khadye Marg, Mahalaxmi, Mumbai 422 004 (Id: C-13849)",10,12,0,0,0,0,0,0,0,0,0,0,0,0
"All India Institute of Speech and Hearing, Manasagangothri,Mysore (Id: C-17415)",32,35,3,6,4,0,9,3,2,0,0,0,2,0
"All India Shivaji Memorial Societys College of Engineering, Pune (Id: C-41227)",91,62,14,5,2,0,14,8,0,0,1,5,0,1
"All India Shivaji Memorial Societys College of Pharmacy, Pune (Id: C-41628)",9,15,1,0,1,0,0,0,0,0,0,0,0,0
"All India Shivaji Memorial Societys Institute of Hotel Management and Catering Technology, Shivajinagar, Pune 411005 (Id: C-41490)",6,10,1,0,0,0,2,0,0,0,NA,NA,NA,NA
"All India Shivaji Memorial Societys Institute of Information Technology, Kennedy road, Pune 411001 Pune (Id: C-41410)",33,59,10,4,0,0,4,3,0,0,0,3,NA,NA
"All India Shivaji Memorial Societys Institute of Management, Kenedi Road, Near RTO, Pune 411001 (Id: C-41318)",8,17,1,2,0,0,1,1,0,0,0,0,0,0
All Saints College of Education (Id: C-14909),2,6,0,0,0,1,2,5,0,0,0,0,2,4
"All Saints' College, Thiruvananthapuram (Id: C-43654)",0,47,0,0,0,0,0,21,0,0,0,0,0,10
ALLURI SETHA RAMARAJU DEGREE COLLEGE CHINTOOR (Id: C-47933),7,3,0,1,7,1,0,1,0,0,0,0,0,0
"Al-Mahmood College of Education, Shimoga. (Id: C-17797)",2,3,0,1,0,0,0,1,0,0,0,1,0,0
"Al-Mighty First Grade College, No.23, Opp. Arabic College, Nagavara Main Raod, Bangalore -560 045(2006-07) (Id: C-21173)",4,12,0,0,1,4,3,8,0,0,3,8,0,0
"Al-Mighty First Grade Evening College, No.23, Opp. Arabic College, Nagavara Main Raod, Bangalore -560 045(2006-07) (Id: C-21051)",5,7,0,2,0,0,5,5,0,0,5,5,0,0
"Al-Mizan B.Ed College, Old Hubli, Hubli. (Id: C-35628)",4,2,1,0,1,0,1,1,0,0,0,0,0,0
AL Momin College of Education (Id: C-39261),7,1,1,0,0,0,1,0,0,0,0,0,0,0
"AL-NOOR COLLEGE OF EDUCATION, BANDIPORE (Id: C-45953)",5,6,0,0,0,0,0,0,0,0,1,6,0,0
ALN Rao Ayurvedic Medical College (Id: C-40385),45,11,0,0,0,0,0,0,0,0,0,0,0,0
ALPHA ARTS AND SCIENCE COLLEGE (Id: C-43912),10,50,0,2,1,0,8,30,0,0,0,2,1,16
Alpha College of Education (Id: C-39238),3,5,1,1,0,0,1,0,0,0,0,0,0,0
"Alpha College of Education, Kanigiri (Id: C-44489)",7,1,2,0,0,0,1,0,0,0,0,0,0,0
"ALPHA COLLEGE OF ENGG. & TECH.,(051) KHATRAJ, KALOL (Id: C-207)",89,36,5,0,0,0,4,1,0,0,1,0,0,0
Alpha College of Engineering (Id: C-16474),56,29,0,0,0,0,0,0,0,0,0,0,0,0
"Alpha College of Engineering, BANGALORE (Id: C-1259)",36,19,7,4,3,4,4,1,0,0,0,0,0,0
Alpha Degree College (Id: C-32797),16,1,1,0,0,0,5,0,0,0,1,0,0,0
Alpha Institute of Management (Id: C-36953),2,1,2,0,0,0,0,1,0,0,0,0,0,0
"ALPHA Institute of Management, G-I, The Presidency, No.261, 9-A Mainroad, 1st Floor, Jayanagar 3rd Block, Bangalore-560 011 (Id: C-20814)",1,13,0,0,0,0,0,0,0,0,0,0,0,0
"Alphonsa College, Pala - 686 574 (Id: C-11593)",3,58,0,0,0,0,0,0,0,0,0,0,3,55
"ALPHORES WOMENS DEGREE & PG COLLEGE JAGTIAL ROAD, KARIMNAGAR (Id: C-21605)",14,16,0,0,0,0,9,7,0,0,0,0,0,0
"A.L. Prasad Degree College, Sriram Nagar (Id: C-8536)",6,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Qamar College of Nursing (Id: C-40122),16,6,0,0,0,0,0,0,0,0,0,0,0,0
Al-Quarmoshi Institute of Business Management (Id: C-25451),9,7,0,0,0,0,0,0,0,0,7,6,2,1
"AL SALAMA INSTITUTE OF ARCHITECTURE, MALAPARAMBA (Id: C-43287)",5,2,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
Al-Shamsh Infotech College Nagari (Sihawa) (Id: C-21671),6,1,1,0,2,0,2,1,0,0,1,1,0,0
"AL SHIFA COLLEGE OF NURSING, PERINTHALMANNA (Id: C-8058)",16,26,2,2,0,0,7,12,0,0,2,3,6,8
Altius Institute of Universal Studies - Indore (Id: C-29729),19,8,0,0,0,0,0,0,0,0,0,0,0,0
Alva’s Ayurvedic Medical College (Id: C-40245),74,34,0,0,0,0,0,0,0,0,0,0,0,0
"Alva's College of Education, Sundari Ananda Alva Campus, Moodabidri- 5742207 (Id: C-17008)",6,4,0,0,0,0,3,3,0,0,0,0,0,0
Alva's College of MHA (Id: C-40568),12,9,0,0,0,0,0,0,0,0,0,0,5,3
Alva's College of MLT (Id: C-40250),6,8,0,0,0,0,0,0,0,0,0,0,6,0
Alva's College of Naturopathy & Yogic Sciences (Id: C-40554),10,15,0,0,0,0,0,0,0,0,0,0,0,0
Alva's College of Nursing (Id: C-40454),23,79,0,0,0,0,0,0,0,0,0,0,23,79
"Alvas College of Physical Education, Sundari Ananda Alva Campus, Moodabidri-574227 (Id: C-16902)",5,0,0,0,0,0,4,0,0,0,0,0,0,0
Alva’s College of Physiotherapy (Id: C-40361),13,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
"Alva's College, Sundari Ananada Alva Campus, Moodabidri - 574227 (Id: C-16981)",49,68,0,0,0,0,0,0,0,0,0,0,0,0
Alva’s Homoeopathic Medical College (Id: C-40313),31,12,0,0,0,0,0,0,0,0,0,0,0,0
"Alvas Institute of Engineering and Technology, MOODBIDRI (Id: C-1284)",74,49,1,1,0,1,44,14,0,0,5,0,69,49
Alwar Institute of Engineering & Technology (Id: C-25277),107,20,19,1,2,0,35,4,0,0,1,0,1,4
ALWAR PHARMACY COLLEGE (Id: C-48351),28,5,0,0,0,0,13,3,2,0,9,2,2,1
"A.L.Y. College, Tribeniganj (Id: C-29583)",120,5,0,0,0,0,107,3,0,0,0,0,0,0
Amala College of Education (Id: C-14706),7,3,0,0,0,0,7,3,0,0,0,0,0,0
"AMALA COLLEGE OF NURSING, THRISSUR (Id: C-8050)",2,21,0,0,0,0,0,0,0,0,0,0,1,20
"Amalapuram Institute of Management Sciences & College of Engineering, NH-214 Road, Mummidivaram,PIN-533216 (CC-6L) (Id: C-18096)",44,6,9,1,0,0,11,1,0,0,1,0,0,0
"AMAL COLLEGE OF ADVANCED STUDIES, MYLADI (Id: C-8040)",15,2,0,0,0,0,2,0,0,0,11,0,0,1
"Amaljyothi College of Engineering, Kanjirappally, Koovapally PO, Kottayam-686518 (Id: C-11842)",95,76,3,2,0,0,14,12,0,0,4,1,65,51
"Amaltas College of Management & Research, Gram Gyhali, Nemavar Road, Indore (Id: C-29822)",4,2,1,0,0,0,2,2,0,0,0,1,0,0
Aman Showkath B.Ed College (Id: C-39227),8,1,3,0,0,0,1,1,0,0,0,0,0,0
"Amara Institute of Engineering & Technology, Satuluru Post, Nadendla (Mandal), PIN-522601(CC-AH) (Id: C-18136)",93,45,16,3,1,0,27,8,0,0,8,2,0,0
"Amar Chand Rajkumari Bardiya Jain Vishwa Bharti College, Chhabra, Baran (Id: C-19485)",14,2,2,0,4,0,3,0,0,0,0,0,0,0
"AMARDEEP COLLEGE OF ENGINEERING AND MANAGEMENT, FIROZABAD (Id: C-46067)",48,8,7,2,0,0,9,0,0,0,0,0,0,0
"AMAR DEEP DEGREE COLLEGE, JALESAR ROAD,FIROZABAD (Id: C-15091)",46,22,11,0,0,0,6,3,0,0,0,0,0,0
AMAR DEGREE COLLEGE (Id: C-24858),12,3,0,1,1,0,11,2,0,0,0,0,0,0
"Amarjyoti Institute of Nursing and Science, Jabalpur (Id: C-33407)",4,14,0,0,0,0,0,0,0,0,0,0,0,0
Amar Jyoti Institute of Physiotheraphy (Id: C-6422),2,5,0,1,0,0,0,1,0,0,0,0,0,0
AMARJYOT MED COLLEGE (Id: C-6900),3,2,2,0,0,0,0,0,0,0,0,0,0,0
"AMAR NATH GIRLS DEGREE COLLEGE,MATHURA (Id: C-15241)",0,21,0,0,0,0,0,3,0,0,0,0,0,0
"AMAR SAHID KANCHAN SINGH MAHAVIDYALAYA, SHIVPURI, KHAGA, (Id: C-12149)",46,11,1,0,0,0,23,6,0,0,2,1,0,0
"AMAR SHAHEED TH. DARIYAV SINGH MAHAVIDYALAYA, KHAGA, (Id: C-12266)",7,1,0,0,0,0,3,0,0,0,0,0,0,0
"Amar Shahid Baba Ajit Singh Jujhar Singh Memorial College, Bela , Ropar (Id: C-22192)",37,72,3,4,0,0,3,2,0,0,0,0,0,0
"AMAR SHAHID R.R.B. SINGH MAHAVIDYALAYA, GAURA BIHAR, (Id: C-12347)",7,1,1,0,0,0,0,0,0,0,0,0,0,0
Ambaba Commerce College & Maniba Institute of Business Management (Commerce) (Id: C-689),21,13,0,1,1,0,3,1,0,0,0,0,0,0
"AMBAH PG COLLEGE , AMBAH (Id: C-34888)",31,14,0,0,0,0,0,0,0,0,0,0,0,0
"Ambai Arts College, Ambasamudram - 627 401, Tirunelveli District. (Id: C-41170)",10,8,1,1,0,0,4,5,0,0,0,1,0,0
Ambala College of Engineering & Applied Research (Id: C-10590),46,32,0,0,0,0,0,0,0,0,0,0,0,0
"AMBALIKA INSTITUTE OF MANAGEMENT AND TECHNOLOGY, LUCKNOW (Id: C-46875)",92,18,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
Ambedkar College (Id: C-9604),19,11,5,1,1,3,3,1,0,1,0,0,0,0
Ambedkar Institute of Technology (Id: C-32851),27,21,2,1,0,0,6,1,0,1,0,0,0,0
"Ambegaon Taluka Vidya Vikas Mandals B.D.Kale Mahavidyalaya,Pune (Id: C-41825)",17,3,4,0,0,0,0,0,0,0,0,0,0,0
Ambica Sanskrit TT college (Id: C-26559),4,2,1,0,0,0,2,1,0,0,0,0,0,0
AMBIGA COLLEGE OF ARTS & SCIENCE (Id: C-36491),1,5,0,4,0,0,1,1,0,0,0,0,0,0
"Ambigara Chowdaia College of Education, No.18/2, Chokkanahalli, Jakkur Post, Hegdenagar, Bangalore -64 (Id: C-20997)",3,2,1,0,0,0,1,0,0,0,0,0,0,0
Ambigara Chowdaiah College of Nurisng (Id: C-40489),21,46,7,4,0,0,0,5,0,0,0,0,0,0
Ambika College of Nursing (Id: C-44836),2,23,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
Ambika T.T. College (Id: C-13287),5,3,0,0,0,0,2,3,0,0,0,0,0,0
"Ambika T T College, Jhunjhunun (Id: C-38797)",7,1,0,0,0,0,4,0,0,0,0,0,0,0
"Ambika Vikas Sansthan Ayurved Nursing Training Centre, Jodhpur (Id: C-26203)",8,0,1,0,0,0,3,0,0,0,1,0,0,0
"A.M.C College, 18th Km. Bannerghatta Road, Bangalore-83 (Id: C-20960)",45,37,3,3,0,0,1,0,0,0,NA,NA,NA,NA
"A M C College of Engineering, BANGALORE (Id: C-1231)",67,94,6,6,0,0,12,32,0,0,4,3,0,0
AMC Medical Education Trust Dental College (Id: C-5907),27,31,2,0,3,3,4,2,1,0,1,1,2,2
AMC Medical Education Trust Medical College (Id: C-6079),76,73,5,7,4,5,13,6,0,0,0,0,0,0
A.M.College (Id: C-12867),46,5,1,0,0,0,3,2,0,0,2,0,0,0
A.M. COLLEGE OF EDUCATION (Id: C-28099),2,5,0,0,0,0,1,3,0,0,0,0,0,0
"AM College of Science, Management & Computer Technology, Anand (Id: C-1227)",14,15,1,0,0,0,1,0,0,0,2,0,1,0
Amdanga Jugal Kishore Mahavidyalaya (Id: C-43376),12,18,1,2,0,0,0,0,0,0,2,2,0,0
"A. M. Degree College, Araria (Id: C-29590)",26,2,1,0,0,0,22,2,0,0,18,1,0,0
Amerda Vikas College of Education (Id: C-14618),4,2,3,1,0,0,1,1,0,0,0,1,0,0
A.M.E.S. College of Education (Id: C-14430),8,2,1,0,0,0,7,2,0,0,2,0,0,0
A M E’s Dental College & Hospital (Id: C-40463),41,14,0,0,0,0,0,0,0,0,0,0,0,0
A M E X (Id: C-44693),11,4,0,0,0,0,0,0,0,0,0,0,0,0
A.M.G.College of Education (Id: C-32649),6,4,1,1,1,0,2,1,0,0,0,0,0,0
A.M.G. College of Education for Women (Id: C-24386),7,1,1,0,0,0,5,1,0,0,0,0,0,0
