Sr. No.,State Name,University District,Univesity Name / Body Type,Institution District,College/Stand Alone Institution,Student Enrolment - Male,Student Enrolment - Female,Student Enrolment - Total,Teaching Staff (Excluding - Male),Teaching Staff (Excluding - Female),Teaching Staff (Excluding - Total),PTR (Equal to 9/12)
7408,Karnataka,Dharwad,College Institution,Dharwad,"VEMAN VIDYAVARDHAK SANGHS KH PATIL COMMERCE COLLEGE, DHARWAD",80,29,109,3,3,6,18
7409,Karnataka,Bijapur,College Institution,Bidar,"Akkamahadevi Arts and Commerce College for Women, Basavakalyan-585 327",255,255,510,15,6,21,24
7410,Karnataka,Bagalkot,College Institution,Belgaum,"College of Horticulture, Arabhavi",326,138,464,38,2,40,11
7411,Karnataka,Bijapur,College Institution,Raichur,"Sharda Arts and Commerce College for Women, Adarsh Colony, Sindhanoor-584 128",263,263,526,12,10,22,23
7412,Karnataka,Bellary,College Institution,Bellary,"Govt. First Grade College, Kampli",289,129,418,14,8,22,19
7413,Karnataka,Dakshina Kannada,College Institution,Dakshina Kannada,"Mar Ivanios College of Education, Kunthoor, Perabe, Puttur Taluk-574285",31,26,57,7,0,7,8
7414,Karnataka,Dakshina Kannada,College Institution,Dakshina Kannada,"Shree Devi College, Mangalore",347,45,392,4,26,30,13
7415,Karnataka,Dharwad,College Institution,Gadag,"Manorama Institute of Computer Application Behind Clak Tawer, Near Jain Colony Hattikal Kot, Gadag",60,46,106,9,3,12,8
7416,Karnataka,Dakshina Kannada,College Institution,Dakshina Kannada,"Sri Dharmasthala Manjunatheshwara Law College, Mangalore-575003",618,349,967,8,7,15,64
7417,Karnataka,Bangalore,College Institution,Bangalore,"Kuvempu Evening Degree College, Mallasandra, T.D. Halli Post, Hesaraghatta main Road, Bangalore -560 052.(2011-12)",54,27,81,15,1,16,5
7418,Karnataka,Dharwad,College Institution,Kolar,"Basavshree College of Law, Kolar",471,63,534,20,4,24,22
7419,Karnataka,Mysore,College Institution,Hassan,"SVM College OF Education, Hassan",100,68,168,11,1,12,14
7420,Karnataka,Davanagere,College Institution,Davanagere,"Basava Bharathi First Grade College, Jagalur",144,84,228,13,0,13,17
7421,Karnataka,Belgaum,College Institution,Belgaum,"PES andT BIMS DEGREE COLLEGE, BELGAUM",143,44,187,5,5,10,18
7422,Karnataka,Shimoga,College Institution,Shimoga,"Hoysala College of Management, Shimoga.",74,31,105,7,4,11,9
7423,Karnataka,Belgaum,College Institution,Belgaum,"BHARATESH COLLEGE OF COMMERCE, BELGAUM",157,80,237,5,9,14,16
7424,Karnataka,Bangalore,College Institution,Kolar,"Govt. First Grade College, Mulabagalu-563131, Kolar Dist.",1467,456,1923,23,8,31,62
7425,Karnataka,Bangalore,College Institution,Bangalore,Gayathri Devi College of Nursing,180,171,351,4,27,31,11
7426,Karnataka,Bangalore,College Institution,Bangalore,"KK College of Commerce and Management, 11th Cross, Kanakapura Raod, Konanakunte Cross, Bangalore -62",86,48,134,9,10,19,7
7427,Karnataka,Bangalore,College Institution,Bangalore,"Shanthini Kethana College, No.70, Bile Kalli Bangalore-76",49,28,77,4,5,9,8
7428,Karnataka,Bangalore,College Institution,Bangalore,Kamala Krishna Royale Nursing College Cottonpet,28,28,56,3,10,13,4
7429,Karnataka,Bangalore,College Institution,Bangalore,Government Unani Medical College,102,102,204,15,12,27,7
7430,Karnataka,Dakshina Kannada,College Institution,Kodagu,"Sarvodaya College of Education, Virajpet-571218",86,71,157,1,5,6,26
7431,Karnataka,Bangalore,College Institution,Bangalore,"C.M.R. College of Education, No.5, OMBR Layout, Bhuvanagiri, BANGALORE-560 043.",41,40,81,4,3,7,11
7432,Karnataka,Tumkur,College Institution,Tumkur,Rajiv Gandhi College of Education,99,39,138,6,2,8,17
7433,Karnataka,Gulbarga,College Institution,Bidar,B254 Govind Rao Mulay College of Education Aurad,100,45,145,6,1,7,20
7434,Karnataka,Belgaum,College Institution,Mandya,"Govt. Engineering College, MANDYA",1021,388,1409,26,5,31,45
7435,Karnataka,Belgaum,College Institution,Belgaum,"ASNSS BHART RATNA DR.RADHAKRISHNAN B.ED COLLEGE, SANKESHWAR",62,32,94,6,4,10,9
7436,Karnataka,Dakshina Kannada,College Institution,Dakshina Kannada,"Sri Rama First Grade College, Hanuman Nagarm Kalladka, Bantwal Taluk",184,120,304,1,10,11,27
7437,Karnataka,Bangalore,College Institution,Bangalore,Sri Krishna Rukmini College of Nursing,232,232,464,0,22,22,21
7438,Karnataka,Dakshina Kannada,College Institution,Dakshina Kannada,"Sri Devi College of Hotel Management, Maina Towers, Ballal Bagh, Mangalore-575003",102,1,103,7,7,14,7
7439,Karnataka,Dakshina Kannada,College Institution,Udupi,"Poornaprajna College, Udupi - 576102",905,623,1528,19,40,59,25
7440,Karnataka,Bangalore,College Institution,Dakshina Kannada,"A J Inst. of Medical Sciences, (MLT)",47,24,71,35,48,83,0
7441,Karnataka,Bangalore,College Institution,Bangalore,"SJRC Arts, Science and Commerce College, Race Course Rd, Bangalore-09",979,261,1240,26,21,47,26
7442,Karnataka,Bangalore,College Institution,Bangalore,"Government First Grade College, Govt. PU College Annex, 18th Cross, Malleswaram, Bangalore -560 003.",662,303,965,5,14,19,50
7443,Karnataka,Belgaum,College Institution,Bijapur,"S B ARTS AND KCP SCI COLLEGE, BIJAPUR",1927,722,2649,52,29,81,32
7444,Karnataka,Belgaum,College Institution,Bangalore,"R V College of Engineering, BANGALORE",4904,1349,6253,193,149,342,18
7445,Karnataka,Mysore,College Institution,Mandya,"Government First Grade College, Melukote Tq",70,44,114,4,2,6,19
7446,Karnataka,Dakshina Kannada,College Institution,Udupi,"Udupi College of Education, NH -17, Karavali Hotel Complex, Adiudupi, Udupi-575103",0,0,0,0,0,0,0
7447,Karnataka,Bangalore,College Institution,Bangalore,Hosmat College of Nursing,200,190,390,4,24,28,13
7448,Karnataka,Dakshina Kannada,College Institution,Dakshina Kannada,"Sri Devi College of Fashion Design, Ballalbagh, Mangalore-575003",62,49,111,0,4,4,27
7449,Karnataka,Davanagere,College Institution,Chitradurga,"Sri Basaveshwara First Grade College, Hireguntanuru,",116,64,180,8,2,10,18
7450,Karnataka,Bellary,College Institution,Bellary,"Sri. Guruthipperudra College, Gandhinagar, Bellary - 583 103.",728,348,1076,15,10,25,43
7451,Karnataka,Mysore,College Institution,Chamarajanagar,"Biligiri First Grade College, Yelandur",1590,524,2114,6,1,7,302
7452,Karnataka,Belgaum,College Institution,Bangalore,"Sri Venkateshwara College of Engineering, BANGALORE",1686,547,2233,59,51,110,20
7453,Karnataka,Belgaum,College Institution,Belgaum,"K L Es College of Engg. and Technology, BELGAUM",2724,894,3618,107,59,166,21
7454,Karnataka,Bangalore,College Institution,Bangalore,"Jain College, No.44/4, District Fund Road, Jayanagar 9th Block, Bangalore-69 (2011-12)",157,43,200,13,13,26,7
7455,Karnataka,Bangalore,College Institution,Tumkur,Madhugiri Sri Raghavendra College of Nursing,249,191,440,3,17,20,22
7456,Karnataka,Gulbarga,College Institution,Gulbarga,C301 H K E S Degree College Aland,956,369,1325,36,1,37,35
7457,Karnataka,Bangalore,College Institution,Bangalore,"GEAR B.Ed. College, Sarjapur Road, Doddkanelli, Bangalore -35",53,36,89,4,5,9,9
7458,Karnataka,Shimoga,College Institution,Chikmagalur,"Tungabhadra College of Education, Tarikere.",50,36,86,5,2,7,12
7459,Karnataka,Belgaum,College Institution,Belgaum,"CTES'S COLLEGE OF EDUCATION, , CHIKKODI",98,68,166,7,1,8,20
7460,Karnataka,Gulbarga,College Institution,Gulbarga,C553 BASVA INSTUTE OF SOCISL WORK,18,2,20,5,0,5,4
7461,Karnataka,Dharwad,College Institution,Mandya,"K.N. Nagegowda College of Law, Malavalli",46,7,53,3,2,5,10
7462,Karnataka,Bangalore,College Institution,Bangalore,"Royal Academy for Management Studies, #22/11, Sidedahalli, Nagasandra Post, Hesarghatta main Road, Bangalore -73,",4,2,6,6,2,8,0
7463,Karnataka,Belgaum,College Institution,Belgaum,"M P MIRJI COLLEGE OF COMMERCE, BELGAUM",729,316,1045,10,6,16,65
7464,Karnataka,Dharwad,College Institution,Dharwad,"JK College of Commerce, Santosha Nagar, Hubli",52,18,70,5,4,9,7
7465,Karnataka,Tumkur,College Institution,Tumkur,"Sree Siddaganga Arts, Science and Commerce First Grade College",2967,1063,4030,49,24,73,55
7466,Karnataka,Bangalore,College Institution,Bangalore,The Oxford College of Physiotherapy,111,69,180,20,6,26,6
7467,Karnataka,Bellary,College Institution,Bangalore,"B.M.Sri. Smaraka Pratistana, Bangalore",5,1,6,4,1,5,1
7468,Karnataka,Bangalore,College Institution,Bangalore,"KLE Society's Degree College, 2nd Stage, 3rd Block, Next to BDA Complex, Nagarabhavi, Bangalore-560 072. (9-10)",25,14,39,3,2,5,7
7469,Karnataka,Belgaum,College Institution,Belgaum,"KLS INST. OF MANAGEMENT EDUCATION and RESEARCH, BELAGAVI (PG)",223,95,318,9,7,16,19
7470,Karnataka,Dakshina Kannada,College Institution,Udupi,"St.Mary's College, Shirva-574116",693,421,1114,18,20,38,29
7471,Karnataka,Bangalore,College Institution,Bangalore,"Government First Grade College, Govt. Tamil School Annex, Cox Town, Frazer Town Post, Bangalore -560 005.",128,67,195,15,3,18,10
7472,Karnataka,Bangalore,College Institution,Bangalore,"M.S. Ramaiah College of Hotel Management, M.S. Ramaih Nagar, M.S.R.I.T Post, Bangalore-54",289,33,322,11,13,24,13
7473,Karnataka,Gulbarga,College Institution,Gulbarga,"C335 Govt F G Degree College,Sedam",746,457,1203,16,12,28,42
7474,Karnataka,Bangalore,College Institution,Tumkur,Varadaraja College of Nursing,322,265,587,16,19,35,16
7475,Karnataka,Belgaum,College Institution,Belgaum,SHRI SIDDALINGESHWAR B.C.A COLLEGE GOKAK,9,5,14,5,2,7,2
7476,Karnataka,Dharwad,College Institution,Dharwad,"Dr.K.S.Sharma College of Computer Applications, Basveshwarnagar, Hubli.",23,8,31,3,4,7,4
7477,Karnataka,Belgaum,College Institution,Mysore,"Govt. Tool Room and Training Center, MYSORE",36,2,38,3,0,3,12
7478,Karnataka,Dharwad,College Institution,Dharwad,"Dr. Sarojini B.S.W College, B.K. Hostel, Opp. Timmasagar Temple, Vidya Nagar, Hubli.",19,9,28,1,3,4,7
7479,Karnataka,Shimoga,College Institution,Shimoga,"National College of Education, Shimoga.",79,62,141,3,1,4,35
7480,Karnataka,Dakshina Kannada,College Institution,Udupi,"Padu Thirupathi Degree College, Anantha Shayana, Karkala-574104",62,43,105,2,12,14,7
7481,Karnataka,Bangalore,College Institution,Bangalore,"Jubilee College,Jubilee Nagar,Jinkathimmanahalli, T.C Palya, Bangalore-36",59,19,78,1,0,1,78
7482,Karnataka,Bangalore,College Institution,Bangalore,"Acharya Patashala College of Commerce, N.R. Colony, Bangalore-19.",667,283,950,14,7,21,45
7483,Karnataka,Belgaum,College Institution,Shimoga,"PES Institute of Technology and Management, SHIVAMOGA",1640,747,2387,56,33,89,26
7484,Karnataka,Belgaum,College Institution,Dakshina Kannada,"V.T.U Extension Center, N M A M Institute of Technology, Nitte",47,19,66,6,3,9,7
7485,Karnataka,Gulbarga,College Institution,Gulbarga,C312 S.B College of Science Gulbarga,859,402,1261,23,13,36,35
7486,Karnataka,Dharwad,College Institution,Dharwad,"Dakshin Bharat Hindi Prachar Sabha, B.B.A. College, U. B. Hill, Dharwad",0,0,0,1,0,1,1
7487,Karnataka,Shimoga,College Institution,Chikmagalur,"M.L.M.N. College of Education, Chikmagalur.",100,80,180,8,1,9,20
7488,Karnataka,Bangalore,College Institution,Bangalore Rural,Ikon Nursing College,263,260,523,0,5,5,104
7489,Karnataka,Bellary,College Institution,Chamarajanagar,"Desi Samskruti Study Centre, Kurubanakatti",3,1,4,2,0,2,2
7490,Karnataka,Gulbarga,College Institution,Raichur,D404 Govt Degree College Sindhanoor,1349,393,1742,85,0,85,20
7491,Karnataka,Belgaum,College Institution,Bijapur,"SHRI SIDDARAMESHWARA ARTS DEGREE COLLEGE, MORATAGI",35,21,56,6,0,6,9
7492,Karnataka,Bangalore,College Institution,Dakshina Kannada,K Pandyarajah Ballal Nursing Institute College of Nursing,181,175,356,1,26,27,13
7493,Karnataka,Mysore,College Institution,Mandya,"Bharathi Education College,Bharathinagar KM Doddi mandya",81,53,134,6,3,9,14
7494,Karnataka,Udupi,College Institution,Udupi,"Manipal Institute of Management, Manipal",239,78,317,12,3,15,21
7495,Karnataka,Bellary,College Institution,Bellary,"Royal College of Education, Bellary",54,22,76,6,2,8,9
7496,Karnataka,Bangalore,College Institution,Bangalore,"Devanga Sangha First Grade College, 6th Cross, Devanga Hostel Road, 6th Cross, Sampangiramangar, Bangalore -27",96,44,140,5,1,6,23
7497,Karnataka,Bangalore,College Institution,Davanagere,S S Institute of Medical Sciences and Research Centre,616,304,920,341,115,456,2
7498,Karnataka,Bellary,College Institution,Bellary,"Ward Law C.S.I. College, Bellary",122,78,200,7,6,13,15
7499,Karnataka,Belgaum,College Institution,Bangalore,"J S S Academy of Technical Education, BANGALORE",2387,741,3128,69,58,127,24
7500,Karnataka,Belgaum,College Institution,Mysore,"National Institute of Engineering, Mysore (QIP Centre)",54,36,90,6,2,8,11
7501,Karnataka,Dakshina Kannada,College Institution,Dakshina Kannada,"A.J. Institute of Management, Kottara Chowki, Bypass, Ashoknagar, Mangalore",127,37,164,8,4,12,13
7502,Karnataka,Bangalore,College Institution,Kolar,"Sambhram College of Hotel Management, BEML Nagar, KGF-563 115, Kolar Dist.",211,64,275,23,7,30,9
7503,Karnataka,Bangalore,College Institution,Belgaum,SGV Ayurvedic Medical College,89,31,120,33,9,42,2
7504,Karnataka,Bijapur,College Institution,Belgaum,"Govt. First Grade Arts College for Women, Bailhongal-591 102",307,307,614,2,5,7,87
7505,Karnataka,Gulbarga,College Institution,Bidar,B301 Sahil B.Ed College Chidri(Bidar),100,45,145,6,2,8,18
7506,Karnataka,Tumkur,College Institution,Tumkur,"Government First Grade College, Tiptur",2343,1264,3607,16,8,24,150
7507,Karnataka,Tumkur,College Institution,Tumkur,Sridevi College of Education,88,38,126,5,2,7,18
7508,Karnataka,Belgaum,College Institution,Bangalore,"B N M Institute of Technology, BANGALORE",2087,1005,3092,55,91,146,21
7509,Karnataka,Belgaum,College Institution,Dakshina Kannada,"Srinivas School of Engineering, Mangalore",925,300,1225,20,16,36,34
7510,Karnataka,Mysore,College Institution,Mysore,"Government First Grade College ,Hanagodu",736,300,1036,14,6,20,51
7511,Karnataka,Belgaum,College Institution,Belgaum,"CSB ARTS, MRP SCIENCE AND COMMERCE COLLEGE, RAMDURG",842,270,1112,25,5,30,37
7512,Karnataka,Bangalore,College Institution,Bangalore,"L.B.S Govt. First Grade College, Dinnoor Road, Jayamahal Extn. Bangalore-32",638,321,959,9,31,40,23
7513,Karnataka,Bangalore,College Institution,Kolar,"Gold Field College of Edcuation, Kolar Road,Karahalli Extension, Bangarpet-563114",129,75,204,9,4,13,15
7514,Karnataka,Dharwad,College Institution,Dharwad,"Adept Foundation Samsthes Adept College of Business Administration, Dharwad.",21,8,29,9,5,14,2
7515,Karnataka,Shimoga,College Institution,Shimoga,"S.B. and S.B.S. Arts, Science and Commerce Autonomous College, Sagara.",1305,313,1618,28,4,32,50
7516,Karnataka,Mysore,College Institution,Mysore,"Vidyodaya Arts Commerce and Science College,T.Narsipura",593,305,898,11,4,15,59
7517,Karnataka,Bangalore,College Institution,Bangalore,"Govt. First Grade College, Kadugudi, Bangalore -560 067.",507,211,718,6,7,13,55
7518,Karnataka,Dharwad,College Institution,Dharwad,"Kittel Arts College, Dharwad",516,245,761,14,4,18,42
7519,Karnataka,Gulbarga,College Institution,Raichur,D470 National Commerce College Sindhanur,277,114,391,28,4,32,12
7520,Karnataka,Gulbarga,College Institution,Raichur,D409 SRK College of Education Raichur,100,66,166,4,4,8,20
7521,Karnataka,Dharwad,College Institution,Dharwad,"SANA College of Education, Shantiniketan Bairidevarkoppa, P.B. Road, Hubli-580025.",100,41,141,6,5,11,12
7522,Karnataka,Belgaum,College Institution,Bagalkot,"BLDEAS COMM BHS ARTS and TGP SCI COLLEGE, JAMAKHANDI",2468,694,3162,61,12,73,43
7523,Karnataka,Mysore,College Institution,Mysore,"Government First Grade College, K.R Nagar",1717,518,2235,28,9,37,60
7524,Karnataka,Bangalore,College Institution,Dakshina Kannada,Mangalore College of Nursing,68,64,132,2,15,17,7
7525,Karnataka,Belgaum,College Institution,Belgaum,"Visvesvaraya Technological University, Belgaum",433,135,568,1,0,1,568
7526,Karnataka,Bangalore,College Institution,Bangalore,"National College, Jayanagar, Bangalore-82(Autonomous)",994,468,1462,29,19,48,30
7527,Karnataka,Davanagere,College Institution,Davanagere,"Srishaila College of Education, Harihara",88,58,146,6,4,10,14
7528,Karnataka,Bangalore,College Institution,Bangalore,"P.V.P. First Grade Evening College, #42, Ring Road, Mallathhalli, Bangalore -56(08-09)",23,5,28,4,2,6,4
7529,Karnataka,Belgaum,College Institution,Bangalore,"Bangalore Institute of Technology, BANGALORE-560 004",3614,923,4537,117,79,196,23
7530,Karnataka,Mysore,College Institution,Hassan,"St.Philominas First Grade College For Women, Sarswathipuram,Saligame Road",232,232,464,15,8,23,20
7531,Karnataka,Gulbarga,College Institution,Bidar,B242 Doddappa Appa B C A Degree College Basavakalyan,212,79,291,6,3,9,32
7532,Karnataka,--,Nursing,Hassan,SHRI BAHUBALI SCHOOL OF NURSING HASSAN,85,69,154,3,1,4,38
7533,Karnataka,Bangalore,College Institution,Bangalore,"Kuvempu FGC, Mallasandra, T Dasarahalii, Bagalore-57",318,131,449,17,1,18,24
7534,Karnataka,Dharwad,College Institution,Tumkur,"Sree Krishna Institute of Law, Tumkur",473,48,521,5,6,11,47
7535,Karnataka,Dharwad,College Institution,Mysore,"J.S.S. Law College, Mysore",520,251,771,18,8,26,29
7536,Karnataka,--,Nursing,Uttara Kannada,"SHIV CHATRAPATI SMARAK SAMITIS SCHOOL OF NURSING KARWAR, UTTAR KANNADA",101,96,197,1,9,10,19
7537,Karnataka,Bangalore,College Institution,Bangalore,"Kengeri First Grade College, Kengeri, Bangalore-60.",506,232,738,17,6,23,32
7538,Karnataka,Tumkur,College Institution,Tumkur,"B.M.S. Government First Grade College, Huliyar",567,272,839,8,0,8,104
7539,Karnataka,Dharwad,College Institution,Dharwad,"COLLEGE OF RURAL HOME SCIENCE,DHARWAD",286,248,534,0,19,19,28
7540,Karnataka,Belgaum,College Institution,Belgaum,"KLE SOCIETYS COLLEGE OF EDUCATION, BELGAUM",46,30,76,3,3,6,12
7541,Karnataka,Bangalore,College Institution,Chitradurga,SJM Dental College and Hospital,235,0,235,45,0,45,5
7542,Karnataka,--,Nursing,Bangalore,NAVANEETHAM SCHOOL OF NURSING BANGALORE,59,59,118,0,7,7,16
7543,Karnataka,Bangalore,College Institution,Mandya,Bharathi College of Pharmacy,224,61,285,24,0,24,11
7544,Karnataka,--,Technical/Polytechnic,Belgaum,S L J POLYTECHNIC VIDYANAGAR GOKAK,272,33,305,11,8,19,16
7545,Karnataka,Bangalore,College Institution,Bangalore,St. Philomina's College of Nursing,240,240,480,1,24,25,19
7546,Karnataka,Bangalore,College Institution,Bangalore,Global College of Nursing,271,233,504,16,21,37,13
7547,Karnataka,Bangalore,College Institution,Bangalore,Padmashree Institute of Medical Lab Technology,131,44,175,6,10,16,10
7548,Karnataka,Dharwad,College Institution,Dharwad,"St.Josephs B.S.W. College, Dharwad.",0,0,0,1,0,1,1
7549,Karnataka,Belgaum,College Institution,Belgaum,"JSS'S BHARATESH COLLEGE OF BUSINESS ADMINISTRATION, BELGAUM",89,44,133,4,1,5,26
7550,Karnataka,Bangalore,College Institution,Bangalore,"Acharyas Bangalore B School, No.3, Lingadeeranahalli, Bangalore -91 (Acharya Institute of Science, No.01, Chola Nagar, R.T. Nagar post, Bangalore-32)",613,229,842,21,30,51,16
7551,Karnataka,Bangalore,College Institution,Mandya,"Adichunchanagiri Institute Of Medical Science,",718,311,1029,121,50,171,6
7552,Karnataka,--,Nursing,Gadag,MOTHER THERESA NURSING SCHOOL GADAG,175,80,255,6,9,15,17
7553,Karnataka,Bangalore,College Institution,Ramanagara,"Government First Grade College for women, Govt. Women Junior College Annex, Behind BEO office, Ramanagar-571 511.",306,306,612,6,5,11,55
7554,Karnataka,--,Teacher Training,Udupi,BEARYS FOUNDATION FOR TEACHERS TRAINING UDUPI,21,18,39,0,6,6,6
7555,Karnataka,Belgaum,College Institution,Bagalkot,"SHRI HVSS RURAL ARTS COLLEGE, KAMATGI",202,126,328,10,0,10,32
7556,Karnataka,--,Teacher Training,Shimoga,GLOBAL EDUN SOCIETY SHIMOGA,109,93,202,0,1,1,202
7557,Karnataka,Belgaum,College Institution,Belgaum,"SKES'S RANI PARVATI DEVI BBA COLLEGE, , BELGAUM",102,37,139,4,1,5,27
7558,Karnataka,--,Nursing,Udupi,"ASHRITH COLLEGE OF NURSING, KOTA",108,102,210,2,14,16,13
7559,Karnataka,Bangalore,College Institution,Bangalore,Hosmat Education Inst. of OTT,40,22,62,6,4,10,6
7560,Karnataka,--,Nursing,Bidar,SULEMAN SCHOOL OF NURSNG BIDAR,133,86,219,8,7,15,14
7561,Karnataka,Gulbarga,College Institution,Bidar,B222 Kaviratna Kalidas Degree College Bidar,224,123,347,9,1,10,34
7562,Karnataka,--,Nursing,Dakshina Kannada,GOVT NURSING SCHOOL DAKSHINA KANNADA,35,35,70,0,3,3,23
7563,Karnataka,Belgaum,College Institution,Kodagu,"Coorg Institute of Technology, PONNAMPET",809,386,1195,39,32,71,16
7564,Karnataka,--,Nursing,Bidar,NOOR SCHOOL OF NURSING BIDAR,216,104,320,8,13,21,15
7565,Karnataka,Shimoga,College Institution,Shimoga,"Government First Grade College, Ananvatti. Soraba Taluka.",343,163,506,14,9,23,22
7566,Karnataka,--,Nursing,Bangalore,NOOR SCHOOL OF NURSING BANGALORE,189,104,293,3,16,19,15
7567,Karnataka,Shimoga,College Institution,Shimoga,"Al-Mahmood College of Education, Shimoga.",100,71,171,2,3,5,34
7568,Karnataka,--,Nursing,Tumkur,SHRIDEVI SCHOOL OF NURSING TUMKUR,132,118,250,9,17,26,9
7569,Karnataka,Dharwad,College Institution,Gadag,"Shree Prabhurajendra College of Physical Education, Gadag.",23,6,29,6,0,6,4
7570,Karnataka,--,PGDM Institutes,Bangalore,ST JOSEPHS COLLEGE OF BUSINESS ADMINISTRATION,253,128,381,21,4,25,15
7571,Karnataka,Dharwad,College Institution,Uttara Kannada,"Kanara Welfare Trusts B.Ed College, Janata Vidyalaya Campus, Dandeli.",45,37,82,3,4,7,11
7572,Karnataka,Shimoga,College Institution,Shimoga,"Government First Grade College, Thirthahalli.",1223,780,2003,15,1,16,125
